SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99923542,RCA,Control Remoto RCR-3273,6,3.992
99923543,RCA,Control Remoto RCR-504BR,5,1.990
Cámaras IP,,,,
99913266,DLink,Camara IP Inalambrica DCS-5222L,1,42.392
99916607,Genius,Camara IP SmartCam 220,9,7.992
9991082,Logitech,Camara IP Web WiLife Indoor,3,18.392
99925633,AirLive,Carcaza de seguridad para camara Airlive BC-5010,1,4.792
99913272,DLink,Cámara IP DCS-7110,5,88.792
99910549,DLink,Cámara IP Inalambrica DCS-2130,1,19.992
99916061,Opexia,Cámara IP Inalámbrica,1,15.992
99917110,DLink,Cámara IP Inalámbrica DCS-5020L,1,23.992
9991517,DLink,Cámara IP Inalámbrica DCS-930L,1,7.992
99919118,DLink,Cámara IP Power Line Domo DCS-6045 LKT,1,31.992
99947197,EZVIZ,Cámara Seguridad IP Full HD con visión nocturna C1C,1,22.990
99929921,HIKVISION,Soporte para Mini PTZ DS-2DE2202-DE3/W,1,4.792
DVD,,,,
99922600,Asus,DVDRW SATA 24x Negro DRW-24F1ST,1,3.992
Desktop,,,,
99945594,Gear,Desktop AMD Ryzen 3 4350G 8GB 240GB SSD DVDRW,3,119.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99939903,Gear,"Desktop Gamer Blue Demon Intel Core i5-10400 8GB 1TBNVIDIA GTX1650 4GB",1,399.990
99944203,Gear,"Desktop Gamer Red Leeroy AMD Ryzen 5 3500 8GB 1TB +128GB SSD NVIDIA GTX1650 4GB MINI",1,399.990
99947441,Gear,Desktop Intel Celeron J4005I-C 8GB 240GB SSD,1,99.990
99944134,Gear,Desktop Intel Celeron Prime J4005I-C 4GB 250GB SSD,1,91.192
99946454,Gear,Desktop Intel Celeron Prime j4005i 4GB 1TB,1,59.990
99944138,Gear,Desktop Intel Core i3-10100 4GB 240GB SSD,1,191.992
99941431,Gear,Desktop Intel Core i5-10400 8GB 1TB,1,205.592
99945525,Gear,Desktop Intel Core i5-11400 8GB 250GB SSD DVDRW,1,269.990
99927100,Gear,"Desktop ONEW-4i Intel Core i3-7100 4GB 1TB Windows 10Home",1,151.192
99946690,Gear,LIQ - Desktop AMD Athlon 3000G 4GB 240GB SSD,2,83.992
99947154,Gear,LIQ - Desktop AMD Athlon 3000G 8GB 128GB SSD,1,99.990
99945870,Gear,LIQ - Desktop AMD Athlon 320GE 4GB 1TB,2,79.992
99947213,Gear,"LIQ - Desktop AMD Ryzen 3 4350G 8GB 240GB SSDDVDRW",4,119.990
99947424,Gear,LIQ - Desktop AMD Ryzen 5 4650G 8GB 1TB + 128GB SSD,3,187.990
99948057,Gear,"LIQ - Desktop AMD Ryzen 5 5600G 8GB 240GB SSDDVDRW",5,239.990
99947239,Gear,LIQ - Desktop AMD Ryzen 5 5600G 8GB 250GB SSD,1,155.990
99946400,Gear,LIQ - Desktop AMD Ryzen 7 4750G 8GB 250GB SSD,1,239.992
99947406,Gear,"LIQ - Desktop Gamer Blue Demon Intel Core i3-9100F 8GB1TB NVIDIA GTX1650 4GB",1,305.592
99947302,Gear,"LIQ - Desktop Gamer Blue Demon Intel Core i5-11400 8GB1TB NVIDIA GTX1650",1,335.990
99947467,Gear,"LIQ - Desktop Gamer Blue Demon Intel i3-10100F 8GB 1TBNVIDIA PH-GTX 1650 4GB",3,303.992
99947369,Gear,"LIQ - Desktop Gamer Red Demon AMD Ryzen 5 5600X 8GB1TB + 250GB SSD NVIDIA GTX 1660S 6GB",1,499.990
